name|gubun|score|blogCount|visitCount
청수당갤러리|카페,디저트|4.44|1103|987
카페 마당|북카페|4.47|323|652
타코앤칠리|멕시코,남미음식|4.96|51|168
텔러스 9.5|바(BAR)|4.5|484|274
파시0914|양식|4.47|160|237
펠트커피 도산공원점|카페|4.4|522|497
플디 도산점|카페,디저트|4.28|280|370
플르서라구뜨|브런치|4.33|41|13
플링크 압구정|베이커리|4.45|227|216
핀치브런치바|브런치|4.85|76|96
형훈 텐동|일식당|4.4|559|552
Ginos NY Pizza 압구정점|피자|4.33|319|305
Poke all day 포케&샐러드 신사점|다이어트,샐러드|4.4|543|239
고급오복수산|일식당|4.52|668|574
고반식당 가로수길점|돼지고기구이|4.61|475|649
골뱅이신사|해물,생선요리|4.73|400|437
구들|요리주점|4.75|228|122
두레국수 본점|국수|4.33|655|902
디저트로이|카페,디저트|4.44|181|84
딩딤1968|딤섬,중식만두|4.4|359|448
르알래스카 가로수길 본점|베이커리|4.4|649|954
맥파이앤타이거 신사티룸|차|4.87|645|239
메종 사우스케이프|브런치|4.18|178|249
모던오뎅|일식당|4.34|195|246
목탄장 도산점|요리주점|4.3|169|220
뮤지드아트|카페,디저트|4.34|35|22
미드타운|브런치|5.0|223|198
미분당 신사점|베트남음식|4.53|735|319
미아전|전,빈대떡|4.35|62|128
바랗|해물,생선요리|4.34|422|196
베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어|베이커리|4.62|474|251
볼피노|이탈리아음식|4.29|394|994
뻐꾸기 본점|포장마차|4.41|183|333
사이|이자카야|4.65|339|443
서울러|와인|4.82|337|155
소각|중식당|4.88|1432|384
소적두 압구정점|카페|4.6|485|352
솔솥 청담점|한식|4.75|389|435
쇼토|베이커리|4.48|321|289
쉐이크쉑 청담점|햄버거|4.44|4924|1991
스시 이토|초밥,롤|4.34|213|428
스시사카우|초밥,롤|4.69|124|312
식물성 도산|카페,디저트|4.78|188|287
신사시장 떡볶이집|떡볶이|4.3|9|175
씨네드쉐프 압구정|양식|4.64|296|454
아가젤라또|아이스크림|4.57|307|226
안주집|요리주점|4.73|309|81
양철지붕|요리주점|4.44|95|177
오르비에토|양식|4.72|112|151
온천집 스키야키|아시아음식|4.5|744|286
우텐더|소고기구이|4.72|121|250
윌비 가로수길점|카페,디저트|4.59|190|164
을지다락 가로수길|이탈리아음식|4.48|662|530
장 스테이크|스테이크,립|4.62|683|318
카페 노티드 신사 옐로우바스켓 팝업|카페|4.64|722|277
카페그라쎄|이탈리아음식|4.42|242|328
퀸즈블러바드 압구정점|멕시코,남미음식|4.75|93|75
크라운돼지|육류,고기요리|4.76|306|151
트라가 가로수길점|스페인음식|4.9|952|362
하이볼가든|바(BAR)|4.76|150|124
홍미닭발 신사본점|닭발|4.35|828|572
