name|score_naver|count_naver|score_daum|count_daum|score_dining|count_dining|score_trip|count_trip|score_manggo|count_manggo|total_count|score_weighted
블루보틀 압구정 카페|4.37|1705|3.3|176|0.0|0|0.0|0|0.0|0|1881|4.27
퀸즈블러바드 압구정점|4.75|168|0.0|0|0.0|0|0.0|0|0.0|0|168|4.75
카페 키츠네 서울|4.26|705|3.8|207|0.0|0|0.0|0|0.0|0|912|4.16
마제스티 타바론 티 라운지|4.37|706|4.2|117|0.0|0|0.0|0|4.1|33|856|4.34
도슬박|4.5|376|4.0|79|0.0|0|0.0|0|4.1|14|469|4.4
하이볼가든|4.76|274|4.4|33|0.0|0|0.0|0|0.0|0|307|4.72
세컨디포레스트 가로수길점|4.37|1165|0.0|0|4.6|10|0.0|0|0.0|0|1175|4.37
37.5 시그니처 가로수길|4.52|191|0.0|0|0.0|0|0.0|0|0.0|0|191|4.52
카페캠프통|4.52|1149|3.7|779|0.0|0|0.0|0|0.0|0|1928|4.19
세인트그릴|4.55|1022|4.1|142|0.0|0|0.0|0|4.1|27|1191|4.49
있을 재|4.61|584|3.8|151|0.0|0|0.0|0|4.2|51|786|4.43
배스킨라빈스 BROWN청담점|4.49|3353|4.2|263|0.0|0|0.0|0|0.0|0|3616|4.47
포티데이즈|4.69|318|0.0|0|0.0|0|0.0|0|0.0|0|318|4.69
압구정면옥|4.26|825|4.1|99|0.0|0|0.0|0|0.0|0|924|4.24
이코복스커피 가로수길점|4.31|636|3.2|23|0.0|0|0.0|0|0.0|0|659|4.27
달맞이 신사점|4.36|282|0.0|0|0.0|0|0.0|0|0.0|0|282|4.36
르 사이트|4.24|883|3.5|66|0.0|0|0.0|0|0.0|0|949|4.19
야키토리 요이사|4.62|308|0.0|0|0.0|0|0.0|0|4.1|12|320|4.6
막이오름 가로수길점|4.35|557|3.7|106|0.0|0|0.0|0|0.0|0|663|4.25
가디록|4.62|462|3.7|53|0.0|0|0.0|0|4.6|55|570|4.53
스시유키|4.49|780|3.3|27|0.0|0|0.0|0|0.0|0|807|4.45
79파운야드 도산공원점|0.0|0|2.9|154|0.0|0|0.0|0|0.0|0|154|2.9
e청우참치|0.0|0|4.5|25|0.0|0|0.0|0|0.0|0|25|4.5
JS가든 압구정점|0.0|0|4.0|52|0.0|0|0.0|0|0.0|0|52|4.0
OMG 게판5분전|0.0|0|1.9|4|0.0|0|0.0|0|0.0|0|4|1.9
RPM|0.0|0|3.1|61|0.0|0|0.0|0|0.0|0|61|3.1
R카페|0.0|0|3.3|58|0.0|0|0.0|0|0.0|0|58|3.3
W가나|0.0|0|3.7|39|0.0|0|0.0|0|0.0|0|39|3.7
가담|0.0|0|3.8|91|3.8|9|0.0|0|4.6|143|243|4.27
가드너아드리아|0.0|0|3.4|60|0.0|0|0.0|0|0.0|0|60|3.4
가로수길공감|0.0|0|3.4|63|0.0|0|0.0|0|0.0|0|63|3.4
가로수길생칼국수 신사점|0.0|0|4.1|31|0.0|0|0.0|0|0.0|0|31|4.1
가로수브루잉컴퍼니|0.0|0|3.3|28|0.0|0|0.0|0|0.0|0|28|3.3
