name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio|gubun|score|visitCount|blogCount
육성회비|16.66666667|75.985|45.03966667|30.29733333|22.90533333|16.66666667|48|52|요리주점|4.54|258|323.0
정글포차|11.76470588|50.01247059|35.48894118|25.39694118|16.10988235|11.76470588|52|48|맥주,호프|4.35|46|62.0
정통집 건대점|11.76470588|49.65317647|30.11741176|21.74658824|14.72729412|11.76470588|50|50|돼지고기구이|4.39|260|352.0
지구상사 건대점|40.069|87.09833333|32.39866667|27.605|24.98266667|16.54866667|55|45|요리주점|4.31|313|72.0
지속|43.66470588|50.82635294|29.92141176|17.20988235|13.67976471|11.76470588|62|38|카페,디저트|4.61|213|180.0
처비버디|25.0|95.793|80.06|53.1575|43.761|25.0|54|46|햄버거|4.22|33|12.0
초라멘|36.61717647|50.42235294|37.72752941|23.67952941|16.29764706|11.76470588|48|52|일본식라면|4.67|452|200.0
최신족발|25.0|92.881|81.3965|76.1305|66.894|25.0|44|56|족발,보쌈|4.42|588|895.0
카페 오알피하우스|62.915|75.56666667|39.80566667|23.737|16.66666667|16.66666667|61|39|카페,디저트|4.6|35|90.0
캐치볼클럽|41.29341176|50.61388235|37.23270588|31.34494118|22.06070588|11.76470588|57|43|카페,디저트|4.42|332|730.0
태태삼겹 건대점|21.38705882|52.264|42.90682353|35.85082353|24.16494118|20.91552941|45|55|한식|4.12|89|54.0
폰버거|11.76470588|48.55576471|34.88376471|30.23858824|22.23435294|11.76470588|50|50|햄버거|4.63|234|196.0
플록|25.0|96.067|95.7855|71.3095|61.5395|54.77|51|49|프랑스음식|4.87|156|140.0
한식당|18.91576471|48.43647059|35.88164706|31.58470588|31.19341176|29.38235294|51|49|한식|4.66|158|49.0
해룡마라룽샤 건대점|35.2775|88.2425|96.4955|82.8755|52.827|40.426|50|50|중식당|4.52|285|1002.0
후토|11.76470588|52.83247059|40.00870588|26.12|17.04611765|11.76470588|45|55|이자카야|4.47|147|148.0
흐릇|11.76470588|47.17482353|34.17552941|20.91294118|11.76470588|11.76470588|63|37|카페|4.75|74|44.0
C156|39.55788235|50.12494118|34.86847059|25.73717647|20.72823529|11.76470588|51|49|양식|4.59|729|514.0
가마로|11.76470588|50.00847059|36.14517647|28.43176471|23.31270588|11.76470588|47|53|돼지고기구이|4.34|481|267.0
건대우동집|62.701|99.0055|88.1545|77.449|57.0415|43.0815|49|51|우동,소바|4.43|1265|174.0
고망고 건대점|92.1945|98.364|75.3455|76.376|36.176|25.0|57|43|카페,디저트|4.48|1203|203.0
고향양꼬치|30.35623529|48.48|37.06329412|35.18047059|30.86423529|25.87270588|45|55|양꼬치|4.38|226|1096.0
고향양꼬치|30.35623529|48.48|37.06329412|35.18047059|30.86423529|25.87270588|45|55|양꼬치|4.38|226|1097.0
그릭데이 건대점|64.253|77.55666667|50.626|39.01566667|29.457|16.66666667|72|28|카페,디저트|4.57|361|136.0
김창훈포차|29.829|80.14766667|44.66866667|32.055|26.227|21.77566667|50|50|요리주점|4.52|140|127.0
낙원스낵 건대점|11.76470588|49.32682353|35.39341176|25.39058824|17.10870588|11.76470588|50|50|맥주,호프|4.41|308|237.0
니뽕내뽕 건대본점|93.0595|99.736|69.2415|61.857|50.511|25.0|54|46|중식당|4.41|682|565.0
대부포차|28.23942857|31.36114286|11.72657143|12.72971429|9.467428571|6.8|49|51|포장마차|4.27|91|91.0
도단집|11.76470588|47.43788235|39.21129412|30.65388235|21.31505882|11.76470588|46|54|돼지고기구이|4.66|448|209.0
도쿄스테이크 건대점|28.23942857|31.36114286|11.72657143|12.72971429|9.467428571|6.8|49|51|스테이크,립|4.32|436|907.0
막이오름 건대점|11.76470588|48.304|36.88870588|28.12917647|19.59152941|11.76470588|51|49|요리주점|4.23|337|185.0
메이빌 본점|41.77811765|51.45294118|33.71835294|21.35952941|19.74094118|11.76470588|54|46|이탈리아음식|4.48|594|399.0
메호르|25.0|92.1205|86.715|75.077|65.516|70.7005|49|51|스페인음식|4.45|143|239.0
미도인 건대|44.55011765|51.83458824|33.27694118|31.15247059|28.52352941|11.76470588|53|47|양식|4.58|884|239.0
바른면집 건대점|44.92447059|50.08447059|34.35152941|29.45905882|22.948|18.62564706|54|46|패밀리레스토랑|4.45|485|891.0
반티엔야오 카오위 건대점|29.908|49.66494118|40.70188235|34.36094118|28.47858824|22.25929412|49|51|중식당|4.75|472|200.0
빕스 어린이대공원점|9.161714286|24.84857143|25.514|31.066|16.15314286|10.97571429|52|48|패밀리레스토랑|4.39|2917|224.0
뿔난황소곱창 건대본점|33.25552941|50.28235294|36.35929412|31.46776471|26.52658824|11.76470588|49|51|곱창,막창,양|4.26|215|559.0
송몽|28.23942857|31.36114286|11.72657143|12.72971429|9.467428571|6.8|49|51|카페|4.32|92|18.0
스파이스드 SPICED|25.0|99.553|76.702|50.8915|42.1855|25.0|62|38|양식|4.75|219|64.0
스파이스드 SPICED|25.0|99.553|76.702|50.8915|42.1855|25.0|62|38|양식|4.57|219|64.0
아웃백스테이크하우스 건대스타시티점|27.244|50.504|48.06447059|44.17388235|29.16870588|23.36164706|52|48|패밀리레스토랑|4.46|4932|478.0
안다미로 팬케이크|43.47482353|50.35388235|31.73529412|25.75152941|18.60729412|11.76470588|60|40|카페,디저트|4.57|233|148.0
얼땅쟈|25.0|95.988|87.339|67.132|49.257|25.0|53|47|중식당|4.52|144|387.0
엘루이 비스트로|11.76470588|52.31552941|30.88823529|21.58941176|15.06376471|11.76470588|53|47|요리주점|4.34|221|296.0
엘루이피자|11.76470588|52.46141176|35.40258824|27.25058824|18.78282353|11.76470588|50|50|맥주,호프|4.46|107|431.0
연옥양꼬치|25.0|99.317|80.9575|71.2685|61.1905|25.0|45|55|양꼬치|4.75|273|497.0
우성식당|25.0|75.0915|82.015|91.343|90.6015|95.35|42|58|기사식당|4.2|734|138.0
우화등선|25.0|95.2215|92.4275|80.7655|64.6915|53.361|40|60|소고기구이|4.64|96|547.0
육일관|32.44117647|49.40141176|37.63294118|30.62870588|26.43788235|25.08823529|44|56|육류,고기요리|4.48|756|435.0
육회한연어 건대점|34.04517647|51.58776471|31.31976471|24.89388235|21.50164706|11.76470588|48|52|요리주점|4.39|370|316.0
은호초밥 건대본점|43.73694118|48.16117647|36.07952941|32.27905882|24.87647059|22.69129412|53|47|초밥,롤|4.26|676|628.0
이우|25.0|93.924|88.3095|70.947|58.422|65.9535|48|52|중식당|4.46|64|13.0
장인닭갈비 건대점|11.76470588|47.79952941|34.11247059|31.13670588|26.51482353|11.76470588|50|50|닭갈비|4.19|515|302.0
조그삼|62.0825|99.723|82.0565|63.4875|50.394|25.0|48|52|돼지고기구이|4.52|203|239.0
조씨네고기국수|11.76470588|47.30847059|36.54564706|32.36823529|29.31788235|11.76470588|46|54|국수|4.47|468|508.0
중경식객 건대점|43.73694118|48.16117647|36.07952941|32.27905882|24.87647059|22.69129412|53|47|중식당|4.59|306|369.0
참숯벽돌집|25.0|98.0505|86.3085|74.135|60.0825|25.0|42|58|육류,고기요리|4.55|102|480.0
코후쿠|11.76470588|52.40894118|36.10776471|19.86164706|15.45247059|11.76470588|50|50|이자카야|4.53|404|178.0
평화김해뒷고기 건대점|53.163|98.781|79.14|72.474|55.958|52.1785|44|56|육류,고기요리|4.41|108|93.0
프레퍼스 다이어트 푸드 건대점|25.268|51.56635294|36.39905882|25.57552941|30.18752941|23.57458824|61|39|다이어트,샐러드|4.75|532|46.0
한촌설렁탕 건대입구역점|25.0|88.8575|85.6845|78.057|62.164|25.0|48|52|곰탕,설렁탕|4.28|493|203.0
해피니스디저트|32.22611765|49.19858824|38.77505882|27.71952941|20.38211765|11.76470588|61|39|카페,디저트|4.41|793|105.0
호아다오|25.0|96.8125|79.326|73.256|52.7645|25.0|53|47|베트남음식|4.91|792|209.0
호파스타 건대점|45.33905882|50.62517647|34.06235294|22.45152941|18.26211765|11.76470588|55|45|스파게티,파스타전문|4.38|762|368.0
홍도초밥|28.23942857|31.36114286|11.72657143|12.72971429|9.467428571|6.8|49|51|초밥,롤|4.53|366|198.0
화양주막|15.42282353|51.35435294|37.66094118|18.64658824|15.45694118|11.76470588|49|51|전통,민속주점|4.82|192|79.0
환이네갈비살 2호점|25.0|98.4905|83.0055|61.5505|78.387|25.0|47|53|소고기구이|4.5|391|133.0
흥에취한범 건대점|32.55133333|89.588|32.77766667|23.69166667|24.07433333|21.86333333|45|55|요리주점|4.75|246|12.0
LITE LANE|42.68470588|48.13552941|32.10423529|23.636|11.76470588|11.76470588|58|42|카페|4.43|458|260.0
건대스시|44.39905882|52.13364706|31.18988235|26.72141176|24.85647059|22.70870588|49|51|일식당|4.51|221|222.0
고베규카츠 건대점|44.39905882|52.13364706|31.18988235|26.72141176|24.85647059|22.70870588|49|51|돈가스|3.64|182|64.0
고쿠텐 건대입구역점|35.72564706|49.62282353|31.33011765|25.21576471|21.24870588|21.75882353|50|50|덮밥|4.17|181|110.0
고흥순대국머리고기|25.0|90.593|87.0295|82.3235|67.756|75.039|40|60|순대,순댓국|4.45|1116|140.0
기류|16.68457143|35.29257143|19.56571429|12.76685714|6.136571429|3.276857143|54|46|카페,디저트|4.18|48|6.0
깍뚝|11.76470588|48.55364706|35.47764706|27.70447059|18.692|11.76470588|48|52|돼지고기구이|4.51|446|280.0
대구안지랑곱창막창 건대점|11.76470588|47.35694118|37.26164706|31.69294118|24.07858824|11.76470588|49|51|곱창,막창,양|4.36|166|369.0
도키도키|11.76470588|48.80870588|34.96423529|23.73152941|17.224|11.76470588|47|53|이자카야|4.22|137|56.0
등촌샤브칼국수 자양점|25.0|97.766|75.5405|59.444|52.6615|25.0|55|45|칼국수,만두|4.32|711|100.0
디슬로|11.76470588|50.21858824|28.53364706|13.62305882|11.76470588|11.76470588|56|44|바(BAR)|4.94|153|108.0
라그랑우스|44.815|96.279|85.663|72.481|51.01|25.0|63|37|베이커리|4.48|265|119.0
마실리아|16.66666667|75.584|38.79666667|27.111|24.03933333|16.66666667|48|52|요리주점|4.32|166|89.0
매드포갈릭 건대스타시티점|25.0|89.2825|89.7445|84.3685|65.127|58.511|54|46|이탈리아음식|4.43|1001|380.0
메종드쁘띠푸르 커먼그라운드점|74.723|99.786|82.2435|73.409|58.8055|25.0|59|41|베이커리|4.35|607|107.0
반둥식당|16.66666667|75.584|38.79666667|27.111|24.03933333|16.66666667|48|52|아시아음식|4.48|318|281.0
발빠닭 건대점|11.76470588|50.21858824|28.53364706|13.62305882|11.76470588|11.76470588|56|44|닭발|4.73|185|89.0
북카페세모|11.76470588|49.99035294|35.01035294|23.53858824|16.16329412|11.76470588|57|43|카페,디저트|4.76|654|2593.0
설레임삼겹살|11.76470588|48.12541176|33.45764706|26.12094118|21.63294118|11.76470588|45|55|돼지고기구이|4.58|140|253.0
쑤담샤브샤브|16.68457143|35.29257143|19.56571429|12.76685714|6.136571429|3.276857143|54|46|샤브샤브|4.18|2443|817.0
아날로그키친|25.0|99.3675|79.5005|70.656|59.4535|25.0|51|49|이탈리아음식|4.48|289|433.0
아마 건대점|17.842|99.637|47.612|44.274|19.74|15.981|52|48|인도음식|4.76|94|81.0
아메리칸트레이 건대입구점|27.93670588|49.41270588|37.49129412|28.34470588|23.33082353|11.76470588|63|37|다이어트,샐러드|4.18|62|89.0
애드앤드|42.67764706|49.72752941|30.416|20.14917647|10.73905882|11.76470588|61|39|카페,디저트|4.75|164|174.0
열불날개 건대2호점|16.66666667|75.584|38.79666667|27.111|24.03933333|16.66666667|48|52|닭발|4.43|301|628.0
