name,gubun,score,visitCount,blogCount
철길왕갈비살,"육류,고기요리",4.36/5,방문자 리뷰_ 688,블로그 리뷰_ 470
커피리브레 연남점,카페,4.43/5,방문자 리뷰_ 664,블로그 리뷰_ 743
리밀커피&밀리,"카페,디저트",4.76/5,방문자 리뷰_ 218,블로그 리뷰_ 230
아날로그가든,카페,4.44/5,방문자 리뷰_ 447,블로그 리뷰_ 293
시나모롤 스위트카페,"카페,디저트",4.44/5,방문자 리뷰_ 88,블로그 리뷰_ 79
코테츠,일식당,4.44/5,방문자 리뷰_ 274,블로그 리뷰_ 239
버터밀크,"카페,디저트",4.45/5,방문자 리뷰_ 556,블로그 리뷰_ 651
혼가츠,돈가스,4.35/5,"방문자 리뷰_ 1,035","블로그 리뷰_ 1,844"
홍스쭈꾸미 홍대본점,주꾸미요리,4.44/5,"방문자 리뷰_ 1,058","블로그 리뷰_ 1,835"
함반,한식,4.7/5,방문자 리뷰_ 332,블로그 리뷰_ 305
커피 벌스데이,"카페,디저트",4.62/5,방문자 리뷰_ 176,블로그 리뷰_ 139
황곱,"곱창,막창,양",4.5/5,방문자 리뷰_ 455,블로그 리뷰_ 319
막걸리싸롱,"전통,민속주점",4.14/5,방문자 리뷰_ 110,블로그 리뷰_ 501
코노미,일식당,4.14/5,방문자 리뷰_ 348,블로그 리뷰_ 638
닝교초식당 홍대점,일식당,4.14/5,방문자 리뷰_ 493,블로그 리뷰_ 221
이치류 홍대본점,양갈비,4.55/5,방문자 리뷰_ 408,블로그 리뷰_ 778
락희돈,"일식튀김,꼬치",4.41/5,방문자 리뷰_ 328,블로그 리뷰_ 306
카와카츠 합정점,돈가스,4.81/5,방문자 리뷰_ 267,블로그 리뷰_ 219
카페 예능,"카페,디저트",4.81/5,방문자 리뷰_ 21,블로그 리뷰_ 15
금성회관 합정본점,한식,4.72/5,방문자 리뷰_ 713,블로그 리뷰_ 344
카레시,카레,4.72/5,방문자 리뷰_ 708,블로그 리뷰_ 557
나성타코,"멕시코,남미음식",4.72/5,방문자 리뷰_ 630,블로그 리뷰_ 489
홍대씨부엉,떡볶이,4.51/5,방문자 리뷰_ 535,블로그 리뷰_ 914
달콤한거짓말,케이크전문,4.36/5,방문자 리뷰_ 674,블로그 리뷰_ 950
루프탑어반비치,바(BAR),4.36/5,방문자 리뷰_ 132,블로그 리뷰_ 225
카타코토카페,카레,4.52/5,방문자 리뷰_ 298,블로그 리뷰_ 288
1984,"카페,디저트",4.63/5,방문자 리뷰_ 765,"블로그 리뷰_ 1,604"
모파상,"카페,디저트",4.36/5,방문자 리뷰_ 772,블로그 리뷰_ 888
디퍼 루프탑,"맥주,호프",4.5/5,방문자 리뷰_ 386,블로그 리뷰_ 282
치킨앤카레군,"치킨,닭강정",4.58/5,방문자 리뷰_ 943,블로그 리뷰_ 545
히메시야,일식당,4.43/5,방문자 리뷰_ 655,블로그 리뷰_ 744
또보겠지떡볶이집 호호시스터점,분식,4.56/5,"방문자 리뷰_ 1,233","블로그 리뷰_ 1,074"
야키토리 나루토 오모테나시,"일식튀김,꼬치",5/5,방문자 리뷰_ 100,블로그 리뷰_ 114
부산집,"오뎅,꼬치",4.42/5,방문자 리뷰_ 274,블로그 리뷰_ 276
어른이대공원,"맥주,호프",4.26/5,방문자 리뷰_ 296,블로그 리뷰_ 259
디어리스트 연남,양식,4.26/5,방문자 리뷰_ 656,블로그 리뷰_ 251
하연옥 마포점,냉면,4.33/5,방문자 리뷰_ 957,블로그 리뷰_ 265
마포곱창타운,"곱창,막창,양",4.48/5,방문자 리뷰_ 839,블로그 리뷰_ 967
제스티살룬 연남,햄버거,4.58/5,"방문자 리뷰_ 1,591",블로그 리뷰_ 872
긴자료코 본점,돈가스,4.52/5,방문자 리뷰_ 949,블로그 리뷰_ 473
스아게,일식당,4.61/5,방문자 리뷰_ 494,블로그 리뷰_ 401
샐러디 합정역점,"다이어트,샐러드",4.43/5,"방문자 리뷰_ 1,257",블로그 리뷰_ 86
연남쌀국수 똣,베트남음식,4.69/5,방문자 리뷰_ 786,블로그 리뷰_ 628
트래블메이커,브런치,4/5,방문자 리뷰_ 304,블로그 리뷰_ 298
구스토타코,"멕시코,남미음식",4.34/5,방문자 리뷰_ 361,블로그 리뷰_ 353
푸하하크림빵,베이커리,4.37/5,"방문자 리뷰_ 1,969","블로그 리뷰_ 1,293"
베어스덴베이커리,베이커리,4.46/5,방문자 리뷰_ 421,블로그 리뷰_ 519
우마담,"육류,고기요리",4.55/5,방문자 리뷰_ 335,블로그 리뷰_ 462
멘야하나비 합정점,일본식라면,4.48/5,방문자 리뷰_ 229,블로그 리뷰_ 353
슬로우타코,"멕시코,남미음식",4.79/5,방문자 리뷰_ 369,블로그 리뷰_ 338
들풀한상,한식,4.36/5,방문자 리뷰_ 409,블로그 리뷰_ 632
연남족발1987,"족발,보쌈",4.36/5,방문자 리뷰_ 230,블로그 리뷰_ 441
뉴오더클럽 연남,피자,4.36/5,방문자 리뷰_ 848,"블로그 리뷰_ 1,049"
남산호랭이,"스파게티,파스타전문",4.36/5,방문자 리뷰_ 789,블로그 리뷰_ 440
윤씨밀방,"스테이크,립",4.43/5,방문자 리뷰_ 842,"블로그 리뷰_ 2,226"
정무관,일식당,4.55/5,방문자 리뷰_ 260,블로그 리뷰_ 639
교동집,주꾸미요리,4.55/5,방문자 리뷰_ 596,블로그 리뷰_ 500
이츠모라멘,일본식라면,4.47/5,방문자 리뷰_ 402,블로그 리뷰_ 452
김씨육면,국수,4.65/5,방문자 리뷰_ 388,블로그 리뷰_ 270
1989버거스탠드 연남,햄버거,4.82/5,방문자 리뷰_ 290,블로그 리뷰_ 568
공상온도,"카페,디저트",4.41/5,방문자 리뷰_ 277,블로그 리뷰_ 682
멘야산다이메 본점,일본식라면,4.32/5,방문자 리뷰_ 461,블로그 리뷰_ 764
웃사브,인도음식,4.33/5,방문자 리뷰_ 560,"블로그 리뷰_ 1,273"
식스티즈,햄버거,4.59/5,방문자 리뷰_ 281,블로그 리뷰_ 167
루프탑 G 길리건스,바(BAR),4.12/5,방문자 리뷰_ 145,블로그 리뷰_ 311
돈주는남자 본점,돼지고기구이,4.62/5,방문자 리뷰_ 324,블로그 리뷰_ 516
산더미불고기,"육류,고기요리",4.65/5,방문자 리뷰_ 872,블로그 리뷰_ 687
테이커테이블,이탈리아음식,4.97/5,방문자 리뷰_ 321,블로그 리뷰_ 159
발리 슈퍼스토어,"맥주,호프",4.38/5,방문자 리뷰_ 334,블로그 리뷰_ 893
동무밥상,이북음식,4.33/5,방문자 리뷰_ 563,블로그 리뷰_ 566
목로관,"육류,고기요리",4.3/5,방문자 리뷰_ 503,블로그 리뷰_ 178
더피자보이즈 합정본점,피자,4.54/5,방문자 리뷰_ 341,블로그 리뷰_ 563
심야식당 하스,이자카야,4.46/5,방문자 리뷰_ 206,블로그 리뷰_ 337
연남어부,생선회,4.49/5,방문자 리뷰_ 201,블로그 리뷰_ 226
꽈페 홍대점,베이커리,4.49/5,방문자 리뷰_ 414,블로그 리뷰_ 228
키친485,이탈리아음식,4.34/5,방문자 리뷰_ 695,"블로그 리뷰_ 1,039"
일편등심,소고기구이,4.66/5,방문자 리뷰_ 958,블로그 리뷰_ 657
오비야,일식당,4.19/5,방문자 리뷰_ 209,블로그 리뷰_ 458
세상끝의라멘,일본식라면,4.55/5,방문자 리뷰_ 579,블로그 리뷰_ 663
진진,중식당,4.55/5,방문자 리뷰_ 836,블로그 리뷰_ 851
이름없는파스타 연남점,"스파게티,파스타전문",4.55/5,방문자 리뷰_ 40,블로그 리뷰_ 27
도 도넛,도넛,4.55/5,방문자 리뷰_ 59,블로그 리뷰_ 39
고망고 연남점,"카페,디저트",4.48/5,"방문자 리뷰_ 2,796",블로그 리뷰_ 321
광명대창집 홍대점,"곱창,막창,양",4.73/5,방문자 리뷰_ 338,블로그 리뷰_ 61
히츠지야,일식당,4.82/5,방문자 리뷰_ 834,블로그 리뷰_ 333
오마카세 오사이초밥 홍대점,일식당,4.82/5,방문자 리뷰_ 961,블로그 리뷰_ 158
청년닭발1987,닭발,4.42/5,방문자 리뷰_ 472,블로그 리뷰_ 700
팔로피자,피자,4.47/5,방문자 리뷰_ 549,블로그 리뷰_ 962
깃털,바(BAR),4.47/5,방문자 리뷰_ 20,블로그 리뷰_ 188
