,name,score,visitCount,blogCount
1019,칸틴,4.17/5,방문자 리뷰_ 27,블로그 리뷰_ 42
1020,대찬갈비,4.58/5,방문자 리뷰_ 152,블로그 리뷰_ 65
1021,알촌 건국대점,4.42/5,방문자 리뷰_ 284,블로그 리뷰_ 66
1022,해남닭집,4.53/5,방문자 리뷰_ 257,블로그 리뷰_ 113
1023,대곱창 건대점,4.85/5,방문자 리뷰_ 108,블로그 리뷰_ 217
1024,블랙아웃커피,4.85/5,방문자 리뷰_ 23,블로그 리뷰_ 20
1025,명륜진사갈비 자양점,4.31/5,방문자 리뷰_ 484,블로그 리뷰_ 44
1026,연탄불꿀곱창,4.34/5,방문자 리뷰_ 222,블로그 리뷰_ 70
1027,털보타코,5/5,방문자 리뷰_ 28,블로그 리뷰_ 65
1028,프랭크버거 건대점,4.45/5,방문자 리뷰_ 616,블로그 리뷰_ 168
1029,홍대돈부리 건대점,4.5/5,방문자 리뷰_ 246,블로그 리뷰_ 476
1030,동해해물,4.38/5,방문자 리뷰_ 120,블로그 리뷰_ 197
1031,샐러디 건대역점,4.56/5,"방문자 리뷰_ 1,137",블로그 리뷰_ 90
1032,화양식당,4.17/5,방문자 리뷰_ 217,블로그 리뷰_ 94
1033,사거리식당 건대직영점,4.17/5,방문자 리뷰_ 292,블로그 리뷰_ 185
1034,노네임드키친,4.79/5,방문자 리뷰_ 89,블로그 리뷰_ 54
1035,몽몽공장 아뜰리에 드로잉카페,4.9/5,방문자 리뷰_ 233,블로그 리뷰_ 91
1036,복만루,4.46/5,방문자 리뷰_ 151,블로그 리뷰_ 248
1037,김부삼 건대점,4.26/5,방문자 리뷰_ 325,블로그 리뷰_ 312
1038,이름없는파스타 건대점,4.32/5,방문자 리뷰_ 458,블로그 리뷰_ 136
1039,금하,4.24/5,방문자 리뷰_ 285,블로그 리뷰_ 94
1040,꼽사리떡볶이,4.15/5,방문자 리뷰_ 226,블로그 리뷰_ 104
1041,무지개맥주 건대점,4.64/5,방문자 리뷰_ 139,블로그 리뷰_ 62
1042,궤도에오르다,4.58/5,방문자 리뷰_ 207,블로그 리뷰_ 161
1043,123막창 서울건대점,4.4/5,방문자 리뷰_ 250,블로그 리뷰_ 70
1044,아메리칸트레이 건대입구점,4.4/5,방문자 리뷰_ 62,블로그 리뷰_ 89
1045,만원수산 건대점,4.66/5,방문자 리뷰_ 210,블로그 리뷰_ 171
1046,당산오돌 구의역점,4.66/5,방문자 리뷰_ 340,블로그 리뷰_ 452
1047,아웃닭 건대점,4.44/5,방문자 리뷰_ 442,블로그 리뷰_ 234
1048,강경수참치,4.62/5,방문자 리뷰_ 128,블로그 리뷰_ 72
1049,온달집 건대점,4.29/5,방문자 리뷰_ 236,블로그 리뷰_ 77
1050,조선주막,4.42/5,방문자 리뷰_ 347,블로그 리뷰_ 304
1051,갈비집 본,5/5,방문자 리뷰_ 53,블로그 리뷰_ 64
1052,푸오커스,5/5,방문자 리뷰_ 104,블로그 리뷰_ 53
1053,오감만족,4.37/5,방문자 리뷰_ 187,블로그 리뷰_ 79
1054,통큰감자탕,4.51/5,방문자 리뷰_ 192,블로그 리뷰_ 106
1055,트리안 건대점,4.45/5,방문자 리뷰_ 328,블로그 리뷰_ 134
1056,롤링파스타 건대지점,4.42/5,방문자 리뷰_ 934,블로그 리뷰_ 332
1057,대동집 건대점,4.42/5,방문자 리뷰_ 80,블로그 리뷰_ 22
1058,난바다스시,4.42/5,방문자 리뷰_ 669,블로그 리뷰_ 69
1059,칸틴,4.17/5,방문자 리뷰_ 27,블로그 리뷰_ 42
1060,대찬갈비,4.58/5,방문자 리뷰_ 152,블로그 리뷰_ 65
1061,알촌 건국대점,4.42/5,방문자 리뷰_ 284,블로그 리뷰_ 66
1062,해남닭집,4.53/5,방문자 리뷰_ 257,블로그 리뷰_ 113
1063,대곱창 건대점,4.85/5,방문자 리뷰_ 108,블로그 리뷰_ 217
1064,블랙아웃커피,4.85/5,방문자 리뷰_ 23,블로그 리뷰_ 20
1065,명륜진사갈비 자양점,4.31/5,방문자 리뷰_ 484,블로그 리뷰_ 44
1066,연탄불꿀곱창,4.34/5,방문자 리뷰_ 222,블로그 리뷰_ 70
1067,털보타코,5/5,방문자 리뷰_ 28,블로그 리뷰_ 65
1068,프랭크버거 건대점,4.45/5,방문자 리뷰_ 616,블로그 리뷰_ 168
1069,홍대돈부리 건대점,4.5/5,방문자 리뷰_ 246,블로그 리뷰_ 476
1070,동해해물,4.38/5,방문자 리뷰_ 120,블로그 리뷰_ 197
1071,샐러디 건대역점,4.56/5,"방문자 리뷰_ 1,137",블로그 리뷰_ 90
1072,화양식당,4.17/5,방문자 리뷰_ 217,블로그 리뷰_ 94
1073,사거리식당 건대직영점,4.17/5,방문자 리뷰_ 292,블로그 리뷰_ 185
1074,노네임드키친,4.79/5,방문자 리뷰_ 89,블로그 리뷰_ 54
1075,몽몽공장 아뜰리에 드로잉카페,4.9/5,방문자 리뷰_ 233,블로그 리뷰_ 91
1076,복만루,4.46/5,방문자 리뷰_ 151,블로그 리뷰_ 248
1077,김부삼 건대점,4.26/5,방문자 리뷰_ 325,블로그 리뷰_ 312
1078,이름없는파스타 건대점,4.32/5,방문자 리뷰_ 458,블로그 리뷰_ 136
1079,금하,4.24/5,방문자 리뷰_ 285,블로그 리뷰_ 94
1080,꼽사리떡볶이,4.15/5,방문자 리뷰_ 226,블로그 리뷰_ 104
1081,무지개맥주 건대점,4.64/5,방문자 리뷰_ 139,블로그 리뷰_ 62
1082,궤도에오르다,4.58/5,방문자 리뷰_ 207,블로그 리뷰_ 161
1083,123막창 서울건대점,4.4/5,방문자 리뷰_ 250,블로그 리뷰_ 70
1084,아메리칸트레이 건대입구점,4.4/5,방문자 리뷰_ 62,블로그 리뷰_ 89
1085,만원수산 건대점,4.66/5,방문자 리뷰_ 210,블로그 리뷰_ 171
1086,당산오돌 구의역점,4.66/5,방문자 리뷰_ 340,블로그 리뷰_ 452
1087,아웃닭 건대점,4.44/5,방문자 리뷰_ 442,블로그 리뷰_ 234
1088,강경수참치,4.62/5,방문자 리뷰_ 128,블로그 리뷰_ 72
1089,온달집 건대점,4.29/5,방문자 리뷰_ 236,블로그 리뷰_ 77
1090,조선주막,4.42/5,방문자 리뷰_ 347,블로그 리뷰_ 304
1091,갈비집 본,5/5,방문자 리뷰_ 53,블로그 리뷰_ 64
1092,푸오커스,5/5,방문자 리뷰_ 104,블로그 리뷰_ 53
1093,오감만족,4.37/5,방문자 리뷰_ 187,블로그 리뷰_ 79
1094,통큰감자탕,4.51/5,방문자 리뷰_ 192,블로그 리뷰_ 106
1095,트리안 건대점,4.45/5,방문자 리뷰_ 328,블로그 리뷰_ 134
1096,롤링파스타 건대지점,4.42/5,방문자 리뷰_ 934,블로그 리뷰_ 332
1097,대동집 건대점,4.42/5,방문자 리뷰_ 80,블로그 리뷰_ 22
1098,난바다스시,4.42/5,방문자 리뷰_ 669,블로그 리뷰_ 69
1099,칸틴,4.17/5,방문자 리뷰_ 27,블로그 리뷰_ 42
1100,대찬갈비,4.58/5,방문자 리뷰_ 152,블로그 리뷰_ 65
1101,알촌 건국대점,4.42/5,방문자 리뷰_ 284,블로그 리뷰_ 66
1102,해남닭집,4.53/5,방문자 리뷰_ 257,블로그 리뷰_ 113
1103,대곱창 건대점,4.85/5,방문자 리뷰_ 108,블로그 리뷰_ 217
1104,블랙아웃커피,4.85/5,방문자 리뷰_ 23,블로그 리뷰_ 20
1105,명륜진사갈비 자양점,4.31/5,방문자 리뷰_ 484,블로그 리뷰_ 44
1106,연탄불꿀곱창,4.34/5,방문자 리뷰_ 222,블로그 리뷰_ 70
1107,털보타코,5/5,방문자 리뷰_ 28,블로그 리뷰_ 65
1108,프랭크버거 건대점,4.46/5,방문자 리뷰_ 615,블로그 리뷰_ 168
1109,홍대돈부리 건대점,4.5/5,방문자 리뷰_ 246,블로그 리뷰_ 476
1110,동해해물,4.38/5,방문자 리뷰_ 120,블로그 리뷰_ 197
1111,샐러디 건대역점,4.56/5,"방문자 리뷰_ 1,137",블로그 리뷰_ 90
1112,화양식당,4.17/5,방문자 리뷰_ 217,블로그 리뷰_ 94
1113,사거리식당 건대직영점,4.17/5,방문자 리뷰_ 292,블로그 리뷰_ 185
1114,노네임드키친,4.79/5,방문자 리뷰_ 89,블로그 리뷰_ 54
1115,몽몽공장 아뜰리에 드로잉카페,4.9/5,방문자 리뷰_ 233,블로그 리뷰_ 91
1116,복만루,4.46/5,방문자 리뷰_ 151,블로그 리뷰_ 248
1117,김부삼 건대점,4.26/5,방문자 리뷰_ 325,블로그 리뷰_ 312
1118,이름없는파스타 건대점,4.32/5,방문자 리뷰_ 458,블로그 리뷰_ 136
1119,금하,4.24/5,방문자 리뷰_ 285,블로그 리뷰_ 94
1120,꼽사리떡볶이,4.15/5,방문자 리뷰_ 226,블로그 리뷰_ 104
1121,무지개맥주 건대점,4.64/5,방문자 리뷰_ 139,블로그 리뷰_ 62
1122,궤도에오르다,4.58/5,방문자 리뷰_ 207,블로그 리뷰_ 161
1123,123막창 서울건대점,4.4/5,방문자 리뷰_ 250,블로그 리뷰_ 70
1124,아메리칸트레이 건대입구점,4.4/5,방문자 리뷰_ 62,블로그 리뷰_ 89
1125,만원수산 건대점,4.66/5,방문자 리뷰_ 210,블로그 리뷰_ 171
1126,당산오돌 구의역점,4.66/5,방문자 리뷰_ 340,블로그 리뷰_ 452
1127,아웃닭 건대점,4.44/5,방문자 리뷰_ 442,블로그 리뷰_ 234
1128,강경수참치,4.62/5,방문자 리뷰_ 128,블로그 리뷰_ 72
1129,온달집 건대점,4.29/5,방문자 리뷰_ 236,블로그 리뷰_ 77
1130,조선주막,4.42/5,방문자 리뷰_ 347,블로그 리뷰_ 304
1131,갈비집 본,5/5,방문자 리뷰_ 53,블로그 리뷰_ 64
1132,푸오커스,5/5,방문자 리뷰_ 104,블로그 리뷰_ 53
1133,오감만족,4.37/5,방문자 리뷰_ 187,블로그 리뷰_ 79
1134,통큰감자탕,4.51/5,방문자 리뷰_ 192,블로그 리뷰_ 106
1135,트리안 건대점,4.45/5,방문자 리뷰_ 328,블로그 리뷰_ 134
1136,롤링파스타 건대지점,4.42/5,방문자 리뷰_ 934,블로그 리뷰_ 332
1137,대동집 건대점,4.42/5,방문자 리뷰_ 80,블로그 리뷰_ 22
1138,난바다스시,4.42/5,방문자 리뷰_ 669,블로그 리뷰_ 69
1139,칸틴,4.17/5,방문자 리뷰_ 27,블로그 리뷰_ 42
1140,대찬갈비,4.58/5,방문자 리뷰_ 152,블로그 리뷰_ 65
1141,알촌 건국대점,4.42/5,방문자 리뷰_ 284,블로그 리뷰_ 66
1142,해남닭집,4.53/5,방문자 리뷰_ 257,블로그 리뷰_ 113
1143,대곱창 건대점,4.85/5,방문자 리뷰_ 108,블로그 리뷰_ 217
1144,블랙아웃커피,4.85/5,방문자 리뷰_ 23,블로그 리뷰_ 20
1145,명륜진사갈비 자양점,4.31/5,방문자 리뷰_ 484,블로그 리뷰_ 44
1146,연탄불꿀곱창,4.34/5,방문자 리뷰_ 222,블로그 리뷰_ 70
1147,털보타코,5/5,방문자 리뷰_ 28,블로그 리뷰_ 65
1148,프랭크버거 건대점,4.46/5,방문자 리뷰_ 615,블로그 리뷰_ 168
1149,홍대돈부리 건대점,4.5/5,방문자 리뷰_ 246,블로그 리뷰_ 476
1150,동해해물,4.38/5,방문자 리뷰_ 120,블로그 리뷰_ 197
1151,샐러디 건대역점,4.56/5,"방문자 리뷰_ 1,137",블로그 리뷰_ 90
1152,화양식당,4.17/5,방문자 리뷰_ 217,블로그 리뷰_ 94
1153,사거리식당 건대직영점,4.17/5,방문자 리뷰_ 292,블로그 리뷰_ 185
1154,노네임드키친,4.79/5,방문자 리뷰_ 89,블로그 리뷰_ 54
