name,score,visitCount,blogCount
쿠시노주방,4.41/5,방문자 리뷰_ 371,블로그 리뷰_ 554
마가렛리버,4.43/5,방문자 리뷰_ 609,블로그 리뷰_ 613
EGO,4.59/5,방문자 리뷰_ 410,블로그 리뷰_ 187
비스트로연남,4.49/5,방문자 리뷰_ 626,블로그 리뷰_ 570
지하102호,4.73/5,방문자 리뷰_ 144,블로그 리뷰_ 369
훌리오 홍대점,4.42/5,방문자 리뷰_ 898,"블로그 리뷰_ 1,161"
쿄식탁,,방문자 리뷰_ 42,블로그 리뷰_ 32
블랑누아,4.61/5,방문자 리뷰_ 625,블로그 리뷰_ 357
심양 홍대점,4.51/5,방문자 리뷰_ 160,블로그 리뷰_ 421
모멘트커피 2호점,4.43/5,방문자 리뷰_ 347,블로그 리뷰_ 945
서플라이디팟 루프탑,4.85/5,방문자 리뷰_ 309,블로그 리뷰_ 229
스탠스커피,4.48/5,방문자 리뷰_ 196,블로그 리뷰_ 689
동두천솥뚜껑삼겹살 합정점,,방문자 리뷰_ 455,블로그 리뷰_ 366
포36거리 홍대점,4.54/5,방문자 리뷰_ 332,블로그 리뷰_ 695
젤라띠젤라띠,4.56/5,"방문자 리뷰_ 1,009","블로그 리뷰_ 1,113"
미티,4.93/5,방문자 리뷰_ 274,블로그 리뷰_ 94
청록양식,4.75/5,"방문자 리뷰_ 1,123",블로그 리뷰_ 386
신주양꼬치 홍대점,4.58/5,방문자 리뷰_ 194,블로그 리뷰_ 853
로운 샤브샤브 홍대점,4.21/5,"방문자 리뷰_ 2,276",블로그 리뷰_ 849
이미커피,4.76/5,방문자 리뷰_ 162,블로그 리뷰_ 243
박용석스시,4.16/5,방문자 리뷰_ 409,블로그 리뷰_ 534
데코아발림본점,4.56/5,방문자 리뷰_ 323,블로그 리뷰_ 446
동교해물,4.52/5,방문자 리뷰_ 93,블로그 리뷰_ 98
맛깔1987,4.46/5,방문자 리뷰_ 222,블로그 리뷰_ 194
문릿아워,4.85/5,방문자 리뷰_ 53,블로그 리뷰_ 6
리춘시장 연남점,4.48/5,방문자 리뷰_ 134,블로그 리뷰_ 94
물고기초밥,4.55/5,방문자 리뷰_ 297,블로그 리뷰_ 688
수염,4.58/5,방문자 리뷰_ 146,블로그 리뷰_ 148
합정광안리,4.47/5,방문자 리뷰_ 351,블로그 리뷰_ 652
또보겠지떡볶이집호호피크닉점,4.57/5,방문자 리뷰_ 752,블로그 리뷰_ 453
멘타카무쇼,4.61/5,방문자 리뷰_ 285,블로그 리뷰_ 124
798화로,4.72/5,방문자 리뷰_ 175,블로그 리뷰_ 609
계담다,4.42/5,방문자 리뷰_ 314,블로그 리뷰_ 291
메이비 케이크 홍대본점,4.47/5,방문자 리뷰_ 294,블로그 리뷰_ 151
배떼기곱창 홍대점,4.4/5,방문자 리뷰_ 356,블로그 리뷰_ 765
티와이티디,,방문자 리뷰_ 114,블로그 리뷰_ 53
손오공마라탕 동교동점,4.47/5,"방문자 리뷰_ 1,676",블로그 리뷰_ 424
또보겠지떡볶이 해피토스점,4.48/5,방문자 리뷰_ 645,블로그 리뷰_ 257
사카바 토리야,,방문자 리뷰_ 108,블로그 리뷰_ 55
더페이머스램,4.44/5,"방문자 리뷰_ 1,121",블로그 리뷰_ 775
핏제리아오 합정역점,,방문자 리뷰_ 32,블로그 리뷰_ 24
너구리베이글 합정점,,방문자 리뷰_ 124,블로그 리뷰_ 62
이양권반상,5/5,방문자 리뷰_ 194,블로그 리뷰_ 109
옹달샘 본점,4.32/5,방문자 리뷰_ 375,블로그 리뷰_ 545
버거스올마이티 홍대점,,방문자 리뷰_ 200,블로그 리뷰_ 125
유경당 연남점,4.34/5,방문자 리뷰_ 457,블로그 리뷰_ 287
플랜트 연남점,4.43/5,방문자 리뷰_ 239,블로그 리뷰_ 168
이가산시도삭면,,방문자 리뷰_ 43,블로그 리뷰_ 22
샐러드 브라더스,4.52/5,방문자 리뷰_ 322,블로그 리뷰_ 232
안녕파스타씨,4.24/5,방문자 리뷰_ 250,"블로그 리뷰_ 1,001"
데우스 카페,4.44/5,방문자 리뷰_ 103,블로그 리뷰_ 104
