name,gubun,score,visitCount,blogCount
플러피 여의도점,이탈리아음식,4.56/5,방문자 리뷰_ 714,블로그 리뷰_ 336
비닐하우스,와인,4.55/5,방문자 리뷰_ 243,블로그 리뷰_ 637
문래동돈까스,돈가스,4.49/5,"방문자 리뷰_ 1,220",블로그 리뷰_ 405
서여사네,"찌개,전골",4.37/5,방문자 리뷰_ 331,블로그 리뷰_ 129
소문난식당,한식,4.47/5,방문자 리뷰_ 743,블로그 리뷰_ 458
단디만,국밥,4.44/5,방문자 리뷰_ 675,블로그 리뷰_ 143
마스터비엣,베트남음식,4.54/5,방문자 리뷰_ 731,블로그 리뷰_ 490
더 스테이크 하우스 여의도 IFC점,양식,4.54/5,방문자 리뷰_ 909,블로그 리뷰_ 401
지오네 파티셰리,"카페,디저트",4.93/5,방문자 리뷰_ 125,블로그 리뷰_ 95
창고43 본점,소고기구이,4.28/5,방문자 리뷰_ 934,블로그 리뷰_ 424
빠뜨릭스와플 본점,와플,4.45/5,방문자 리뷰_ 586,블로그 리뷰_ 196
원조감자탕 일미집 영등포직영점,감자탕,4.32/5,방문자 리뷰_ 868,블로그 리뷰_ 138
골방,요리주점,4.74/5,방문자 리뷰_ 134,블로그 리뷰_ 75
스시미소,"초밥,롤",4.84/5,"방문자 리뷰_ 1,065",블로그 리뷰_ 295
진가와 여의도점,일식당,4.36/5,방문자 리뷰_ 409,블로그 리뷰_ 602
와인주막차차 여의도점,와인,4.54/5,방문자 리뷰_ 925,블로그 리뷰_ 330
중앙참치,생선회,4.13/5,방문자 리뷰_ 177,블로그 리뷰_ 194
Get That Shot 롯데백화점영등포점,"카페,디저트",4.28/5,방문자 리뷰_ 356,블로그 리뷰_ 384
운산,한정식,4.33/5,방문자 리뷰_ 318,블로그 리뷰_ 221
서울로인 여의도점,한식,4.83/5,방문자 리뷰_ 996,"블로그 리뷰_ 1,467"
히노노리,일식당,4.51/5,방문자 리뷰_ 212,블로그 리뷰_ 118
소호정여의도점,국수,4.3/5,방문자 리뷰_ 703,블로그 리뷰_ 223
영원식당,"칼국수,만두",4.22/5,방문자 리뷰_ 558,블로그 리뷰_ 346
반샤쿠,이자카야,4.01/5,방문자 리뷰_ 273,블로그 리뷰_ 627
포프트 커피,"카페,디저트",4.38/5,방문자 리뷰_ 283,블로그 리뷰_ 318
하얀과자점,"카페,디저트",4.42/5,방문자 리뷰_ 351,블로그 리뷰_ 322
after work club,"카페,디저트",4.46/5,방문자 리뷰_ 166,블로그 리뷰_ 284
하동관 여의도역점,"곰탕,설렁탕",4.28/5,방문자 리뷰_ 890,블로그 리뷰_ 141
갤러리문래,양식,4.43/5,방문자 리뷰_ 509,블로그 리뷰_ 178
욥,베이커리,4.49/5,"방문자 리뷰_ 1,296",블로그 리뷰_ 219
등포,"육류,고기요리",4.95/5,방문자 리뷰_ 254,블로그 리뷰_ 249
피그인더가든 여의도점,"다이어트,샐러드",4.4/5,"방문자 리뷰_ 1,886",블로그 리뷰_ 698
두꺼비식당 영등포점,"육류,고기요리",4.5/5,방문자 리뷰_ 488,블로그 리뷰_ 360
잠수교집 여의도점,돼지고기구이,4.52/5,방문자 리뷰_ 266,블로그 리뷰_ 210
스시민 영등포점,"초밥,롤",4.57/5,"방문자 리뷰_ 1,085",블로그 리뷰_ 138
구아이,소고기구이,4.56/5,방문자 리뷰_ 412,블로그 리뷰_ 479
오시게리따,피자,4.62/5,방문자 리뷰_ 441,블로그 리뷰_ 305
백야,"카페,디저트",4.62/5,방문자 리뷰_ 182,블로그 리뷰_ 298
이목구비,"맥주,호프",4.34/5,방문자 리뷰_ 277,블로그 리뷰_ 196
족발신선생 영등포점,"족발,보쌈",4.55/5,방문자 리뷰_ 234,블로그 리뷰_ 103
소정담,김밥,4.48/5,"방문자 리뷰_ 1,142",블로그 리뷰_ 209
편백집 영등포 타임스퀘어점,"육류,고기요리",4.22/5,"방문자 리뷰_ 1,167",블로그 리뷰_ 263
대세 박목살 본점,돼지고기구이,4.75/5,방문자 리뷰_ 206,블로그 리뷰_ 196
장군집 양평동본점,"육류,고기요리",4.75/5,방문자 리뷰_ 520,블로그 리뷰_ 271
슈치쿠,일식당,4.67/5,방문자 리뷰_ 601,블로그 리뷰_ 579
스트릿 여의도 현대파크원점,아시아음식,4.42/5,방문자 리뷰_ 862,블로그 리뷰_ 108
뉴욕뉴욕,"스테이크,립",4.6/5,"방문자 리뷰_ 1,453",블로그 리뷰_ 522
수티 더현대서울백화점점,양식,4.17/5,방문자 리뷰_ 980,블로그 리뷰_ 437
코트야드메리어트서울타임스퀘어 모모카페,뷔페,4.17/5,"방문자 리뷰_ 2,488",블로그 리뷰_ 465
닥터로빈 신세계타임스퀘어점,이탈리아음식,4.42/5,"방문자 리뷰_ 1,224",블로그 리뷰_ 292
