,name,gubun,score,visitCount,blogCount
234,온천집 스키야키,아시아음식,4.5/5,방문자 리뷰_ 745,블로그 리뷰_ 284
235,스페인클럽 가로수본점,스페인음식,4.28/5,방문자 리뷰_ 160,블로그 리뷰_ 497
236,스페인클럽 가로수본점,스페인음식,4.28/5,방문자 리뷰_ 160,블로그 리뷰_ 497
237,맥파이앤타이거 신사티룸,차,4.87/5,방문자 리뷰_ 645,블로그 리뷰_ 239
238,맥파이앤타이거 신사티룸,차,4.87/5,방문자 리뷰_ 645,블로그 리뷰_ 239
239,트라가 가로수길점,스페인음식,4.9/5,방문자 리뷰_ 951,블로그 리뷰_ 360
240,678치킨앤버거 압구정점,햄버거,4.9/5,방문자 리뷰_ 30,블로그 리뷰_ 17
241,장 스테이크,"스테이크,립",4.62/5,방문자 리뷰_ 683,블로그 리뷰_ 318
242,꿍탈레,태국음식,4.4/5,방문자 리뷰_ 276,블로그 리뷰_ 267
243,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,베이커리,4.4/5,방문자 리뷰_ 472,블로그 리뷰_ 250
244,메종 사우스케이프,브런치,4.18/5,방문자 리뷰_ 178,블로그 리뷰_ 249
245,고급오복수산,일식당,4.52/5,방문자 리뷰_ 668,블로그 리뷰_ 574
246,휴고 도산,양식,4.66/5,방문자 리뷰_ 298,블로그 리뷰_ 172
247,목탄장 도산점,요리주점,4.3/5,방문자 리뷰_ 169,블로그 리뷰_ 220
248,안주집,요리주점,4.73/5,방문자 리뷰_ 309,블로그 리뷰_ 81
249,송쉐프,중식당,4.38/5,방문자 리뷰_ 532,블로그 리뷰_ 584
250,골뱅이신사,"해물,생선요리",4.73/5,방문자 리뷰_ 400,블로그 리뷰_ 438
251,도레도레 신사점,케이크전문,4.43/5,방문자 리뷰_ 600,블로그 리뷰_ 988
252,포티데이즈,양식,4.69/5,방문자 리뷰_ 148,블로그 리뷰_ 167
253,압구정면옥,한식,4.26/5,방문자 리뷰_ 552,블로그 리뷰_ 272
254,이코복스커피 가로수길점,카페,4.31/5,방문자 리뷰_ 375,블로그 리뷰_ 259
255,하바나선셋,바(BAR),4.39/5,방문자 리뷰_ 151,블로그 리뷰_ 83
256,달맞이 신사점,생선회,4.36/5,방문자 리뷰_ 128,블로그 리뷰_ 153
257,르 사이트,카페,4.24/5,방문자 리뷰_ 572,블로그 리뷰_ 307
258,사토시,"초밥,롤",4.94/5,방문자 리뷰_ 73,블로그 리뷰_ 148
259,야키토리 요이사,이자카야,4.62/5,방문자 리뷰_ 234,블로그 리뷰_ 73
260,달래해장 압구정로데오점,한식,4.62/5,방문자 리뷰_ 7,블로그 리뷰_ 8
261,빈터커피로스터스,카페,4.57/5,방문자 리뷰_ 344,블로그 리뷰_ 175
262,스시유키,"초밥,롤",4.49/5,방문자 리뷰_ 326,블로그 리뷰_ 454
263,신사소곱창 신사본점,"곱창,막창,양",4.36/5,방문자 리뷰_ 456,블로그 리뷰_ 864
264,두넛샵,"카페,디저트",4.35/5,방문자 리뷰_ 243,블로그 리뷰_ 333
265,가디록,이탈리아음식,4.62/5,방문자 리뷰_ 129,블로그 리뷰_ 333
266,대가방 압구정동점,중식당,4.28/5,방문자 리뷰_ 303,블로그 리뷰_ 306
