SHOP_CODE,SHOP_NAME,SHOP_CATEGORY,ADSTRD_CD,REGION_ID_x,SHOP_ADR,STDR_YM_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SIGNGU_CD,REGION_ID_y,REGION_SI,REGION_GU,REGION_DONG
23169959,미노스,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 80,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12434951,베트남고향식당,동남아음식전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 31,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
20478386,수도시락,도시락전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로27길 21,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
26205520,브래드커뮤니케이션즈,제과점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 27-8,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25357865,동인동,해물찜/탕전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로156길 14,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25536857,퀸실내포차,민속주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로158길 12,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12328687,담미온,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 42,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15993836,성하루,중국음식/중국집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로4길 13-17,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
20024067,떡쌈시대,갈비/삼겹살,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로167길 12,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15963435,라이팸,호프/맥주,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로15길 8,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15963438,로프트,호프/맥주,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 62,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15963749,깐부치킨신사가로수길점,후라이드/양념치킨,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로14길 12,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
23459420,스파게티스토리,스파게티전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로18길 12,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15963250,양철북가로수길점,곱창/양구이전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로14길 6,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
23494683,메이드,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 17,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12459849,홍콩반점0410신사역점,중국음식/중국집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 43,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12326672,피어나,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로19길 20,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25868754,카페베네,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로 815,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25816715,깐부치킨압구정현대점,후라이드/양념치킨,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로27길 43,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15963293,코드이스케이프,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 14,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12451511,하남돼지집압구정직영점,갈비/삼겹살,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 21,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15963281,더케이크스토리,제과점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로14길 6,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15997198,사보텐,돈가스전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 22,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15993608,엘크레,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로14길 39,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15997087,사람사는고깃집김일도,갈비/삼겹살,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로2길 46,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12336849,제이에스가든웍,중국음식/중국집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 43,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15963755,스쿠로,기타전문서양음식점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로17길 31,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
15962550,로바다야끼방추,로바다야끼,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 25,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16632219,온투,라면김밥분식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로167길 12,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
11804267,돌배기집신사점,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로11길 34,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
11799934,컬렉션라운지,기타일반유흥주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 33,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16732248,아르넬ARENEL,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로4길 14-10,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
11793441,이자카야다다,기타일반유흥주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 9,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25717982,갓덴스시,음식점-초밥전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 40,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
11805895,하나,음식점-일식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로171길 12,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16637193,메머드익스프레스,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로159길 34,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16636997,투썸플레이스,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 158,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
11800206,핀치,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로15길 41,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25753008,동대문엽기떡볶이,떡볶이전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로 841,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16644188,커피,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 18,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25851180,로바다야끼방추,로바다야끼,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 144,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16629728,윌비,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로158길 26,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16751915,분식이이래도되는가,라면김밥분식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로151길 52,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16606161,돈불리제담,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로2길 46,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16608270,행복한만두,국수/만두/칼국수,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 33,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16608126,온달집,기타일반유흥주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 28,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16606912,마카롱쿠튀르,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로4길 13-4,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16603905,DUSK,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로167길 19,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16608518,나,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 39,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16599502,시그널헌터,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 40,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25836648,피자헛,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 22,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16739403,크림슨젤라또,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로11길 33,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25904410,젝키,호프/맥주,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로161길 16,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16604612,마키진,음식점-일식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로156길 8,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16606419,에이커스,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로17길 30,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16597411,몽비현스터디카페,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로8길 10,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25704716,오코노미야끼,음식점-일식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 22,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16608944,WETCOFFEE,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 18,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25264926,삼삼이네생고깃집,기타고기요리,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로11길 15,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16603875,포메인레드,동남아음식전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 14,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16876772,벨루치,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로158길 9,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16594743,패티앤베지스,패스트푸드,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로4길 11,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16604805,나,음식점-초밥전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로 841,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16603112,딜라이트,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 31-3,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16608491,소르비,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로2길 11,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16603240,맘스터치,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 18,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25903676,까사밀,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로1길 83,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16602788,노이에아트멍,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로23길 19,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16596531,이스케이프샵,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 93,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25443002,구정만두.칼국수,국수/만두/칼국수,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로161길 13,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16726587,화계식당,닭갈비전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로2길 62,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
23217464,장금이식당,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로155길 9,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
11793005,아카시아,기타전문서양음식점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 31-1,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
11800081,실버한스푼,음식점-일식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로153길 51,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25739614,부자피자신사점,피자전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 35-2,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16729186,오가다,전통찻집/인삼찻집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 140,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16674746,압구정곱떡,떡전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 46,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16682726,디저트공장,제과점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 35,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
20020369,커핀그루나루,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 6,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16726199,미월당,라면김밥분식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로156길 32,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25497295,호야포차,기타일반유흥주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로2길 46,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
16892061,슈퍼판,퓨전음식전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로167길 15,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25233098,보물선,해물찜/탕전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 20,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
23522763,마구로젠신사점,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로151길 20,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25809685,호토모토도시락,도시락전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 25,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25901516,경주빵해뜨는집,제과점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 150,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
11790421,한솥신사동현대고앞점,도시락전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 61,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
