SHOP_CODE,SHOP_NAME,SHOP_CATEGORY,ADSTRD_CD,REGION_ID,SHOP_ADR
11805560,복이오,복전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로 821
16632219,온투,라면김밥분식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로167길 12
11792420,삼곱식당신사점,곱창/양구이전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로37길 18
11804267,돌배기집신사점,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로11길 34
11793826,칼삼겹살,갈비/삼겹살,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로51길 41
11797742,던킨도너츠압구정역점,도너츠전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 204
16723314,스토리,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로174길 17
11801154,우가,갈비/삼겹살,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로49길 22
11802890,뽕사부압구정점,중국음식/중국집,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로36길 12
25733239,폴바셋압구정2호점,빠/카페/스탠드빠,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로36길 8
11799934,컬렉션라운지,기타일반유흥주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 33
16732248,아르넬ARENEL,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로4길 14-10
17947321,리레이즈,빠/카페/스탠드빠,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로151길 20
11793441,이자카야다다,기타일반유흥주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 9
25637955,더퀸,기타전문서양음식점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로51길 16
25746989,왕고모,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로164길 21
25717982,갓덴스시,음식점-초밥전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 40
11805895,하나,음식점-일식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로171길 12
16591726,펄쉘,기타전문서양음식점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로42길 49
16637193,메머드익스프레스,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로159길 34
16636997,투썸플레이스,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 158
