name,gubun,score,visitCount,blogCount
세광양대창 인천삼산점,"곱창,막창,양",4.55/5,방문자 리뷰_ 499,블로그 리뷰_ 112
까치기사식당,기사식당,4.36/5,방문자 리뷰_ 473,블로그 리뷰_ 79
꽃차당,"카페,디저트",4.36/5,방문자 리뷰_ 435,블로그 리뷰_ 261
벤식당,태국음식,4.61/5,방문자 리뷰_ 255,블로그 리뷰_ 111
만석이네육즙고깃간,돼지고기구이,4.57/5,방문자 리뷰_ 187,블로그 리뷰_ 88
오늘그대와 부평점,"스파게티,파스타전문",4.57/5,방문자 리뷰_ 373,블로그 리뷰_ 168
비피디카페,"카페,디저트",4.57/5,방문자 리뷰_ 299,블로그 리뷰_ 338
올드타운,"카페,디저트",4.57/5,방문자 리뷰_ 354,블로그 리뷰_ 107
하나비,이자카야,4.3/5,방문자 리뷰_ 186,블로그 리뷰_ 244
인더비엣,베트남음식,4.49/5,방문자 리뷰_ 921,블로그 리뷰_ 201
부평칼국수,"칼국수,만두",4.44/5,방문자 리뷰_ 501,블로그 리뷰_ 61
점보37,"우동,소바",4.45/5,방문자 리뷰_ 352,블로그 리뷰_ 230
30년전통영철이네포장마차,포장마차,4.27/5,방문자 리뷰_ 269,블로그 리뷰_ 120
경복궁 부평점,"육류,고기요리",4.28/5,방문자 리뷰_ 822,블로그 리뷰_ 198
봉평산골메밀촌 부개점,막국수,4.41/5,"방문자 리뷰_ 1,357",블로그 리뷰_ 152
김덕후의곱창조 부평점,"곱창,막창,양",4.65/5,방문자 리뷰_ 260,블로그 리뷰_ 200
혜원양과점,베이커리,4.68/5,방문자 리뷰_ 552,블로그 리뷰_ 180
대가손두부,두부요리,4.4/5,방문자 리뷰_ 321,블로그 리뷰_ 53
차차식당,일식당,4.6/5,방문자 리뷰_ 445,블로그 리뷰_ 135
타르데마파트너스,베이커리,4.6/5,방문자 리뷰_ 711,블로그 리뷰_ 102
족발신선생 부평점,"족발,보쌈",4.5/5,방문자 리뷰_ 489,블로그 리뷰_ 145
미도인 부평,양식,4.84/5,"방문자 리뷰_ 1,445",블로그 리뷰_ 232
소금빛풍천장어,"장어,먹장어요리",4.29/5,방문자 리뷰_ 399,블로그 리뷰_ 441
꽃다운주점 부평역점,요리주점,4.29/5,방문자 리뷰_ 61,블로그 리뷰_ 20
신포동청실홍실 부평직영점,국수,4.4/5,"방문자 리뷰_ 1,616",블로그 리뷰_ 159
온당,한식,4.65/5,방문자 리뷰_ 167,블로그 리뷰_ 98
아우라지 삼산점,"매운탕,해물탕",4.53/5,"방문자 리뷰_ 1,760",블로그 리뷰_ 357
키친 심플,"스파게티,파스타전문",4.6/5,방문자 리뷰_ 249,블로그 리뷰_ 247
구도로통닭 부평점,"치킨,닭강정",4.47/5,방문자 리뷰_ 395,블로그 리뷰_ 125
티카페620,"카페,디저트",4.95/5,방문자 리뷰_ 87,블로그 리뷰_ 142
닭발여행x윤이불닭발,닭발,4.59/5,방문자 리뷰_ 237,"블로그 리뷰_ 1,599"
해피치즈스마일 부평점,종합분식,4.59/5,방문자 리뷰_ 133,블로그 리뷰_ 106
아메리칸트레이 부평점,"다이어트,샐러드",4.45/5,"방문자 리뷰_ 1,204","블로그 리뷰_ 1,729"
일공공샤브 부평시장역점,일공공키친,4.45/5,방문자 리뷰_ 105,블로그 리뷰_ 21
슬로우캘리 부평점,"다이어트,샐러드",4.45/5,방문자 리뷰_ 44,블로그 리뷰_ 10
명품 화덕 고등어,한식,4.45/5,방문자 리뷰_ 268,블로그 리뷰_ 111
moni moni,카페,4.38/5,방문자 리뷰_ 511,블로그 리뷰_ 305
더꽃게,게요리,4.23/5,"방문자 리뷰_ 1,255",블로그 리뷰_ 309
세븐스플로어,이탈리아음식,4.66/5,방문자 리뷰_ 562,블로그 리뷰_ 214
묵음,"카페,디저트",4.66/5,방문자 리뷰_ 31,블로그 리뷰_ 68
스카이라운지펜트하우스,바(BAR),4.54/5,방문자 리뷰_ 95,블로그 리뷰_ 207
봉봉제주고기,돼지고기구이,4.71/5,방문자 리뷰_ 287,블로그 리뷰_ 140
온도베이커리,베이커리,4.57/5,방문자 리뷰_ 892,블로그 리뷰_ 62
고모네곱창,"곱창,막창,양",4.43/5,방문자 리뷰_ 662,블로그 리뷰_ 408
그랩어비,햄버거,4.43/5,방문자 리뷰_ 713,블로그 리뷰_ 643
접견실,"카페,디저트",4.56/5,방문자 리뷰_ 210,블로그 리뷰_ 290
마녀주방 부평점,이탈리아음식,4.45/5,방문자 리뷰_ 616,블로그 리뷰_ 568
드방르파크,베이커리,4.42/5,방문자 리뷰_ 752,블로그 리뷰_ 212
디저트 작업실 슈슈,"카페,디저트",4.38/5,방문자 리뷰_ 225,블로그 리뷰_ 511
미분당 부평삼산점,베트남음식,4.57/5,"방문자 리뷰_ 1,336",블로그 리뷰_ 306
권가제면소 부평점,"우동,소바",4.57/5,방문자 리뷰_ 506,블로그 리뷰_ 115
출입구,요리주점,5/5,방문자 리뷰_ 49,블로그 리뷰_ 48
단하나 부평점,케이크전문,4.39/5,방문자 리뷰_ 144,블로그 리뷰_ 382
저스트텐동 부평점,일식당,4.39/5,방문자 리뷰_ 524,블로그 리뷰_ 113
다해야,생선회,4.55/5,방문자 리뷰_ 397,블로그 리뷰_ 137
프롬버터,"카페,디저트",4.6/5,방문자 리뷰_ 176,블로그 리뷰_ 38
탄탄면공방 부평점,아시아음식,4.74/5,"방문자 리뷰_ 2,816",블로그 리뷰_ 192
양평신내서울해장국 부평직영점,해장국,4.33/5,"방문자 리뷰_ 2,101",블로그 리뷰_ 239
미담,중식당,4.5/5,방문자 리뷰_ 894,블로그 리뷰_ 106
봉추찜닭 인천부평점,찜닭,4.47/5,방문자 리뷰_ 419,블로그 리뷰_ 584
곱사임당,돼지고기구이,4.61/5,방문자 리뷰_ 335,블로그 리뷰_ 175
크레이지 리치,"카페,디저트",4.61/5,방문자 리뷰_ 37,블로그 리뷰_ 23
서까래 부평본점,이자카야,4.53/5,방문자 리뷰_ 295,블로그 리뷰_ 124
화미소금구이 부평점,돼지고기구이,4.49/5,방문자 리뷰_ 380,블로그 리뷰_ 265
팬더스윗,브런치,4.46/5,방문자 리뷰_ 849,블로그 리뷰_ 506
로스텔링,"카페,디저트",4.42/5,방문자 리뷰_ 451,블로그 리뷰_ 67
동암삼겹살,돼지고기구이,4.35/5,방문자 리뷰_ 113,블로그 리뷰_ 158
월미 부평 직영점,덮밥,4.35/5,방문자 리뷰_ 133,블로그 리뷰_ 66
하브레,바(BAR),4.33/5,방문자 리뷰_ 70,블로그 리뷰_ 45
오늘맥주한잔,"맥주,호프",4.33/5,방문자 리뷰_ 625,블로그 리뷰_ 68
오늘은37.2도,바(BAR),4.44/5,방문자 리뷰_ 196,블로그 리뷰_ 317
카페 룬드,"카페,디저트",4.67/5,방문자 리뷰_ 438,블로그 리뷰_ 190
연수해물나라,한식,4.31/5,방문자 리뷰_ 470,블로그 리뷰_ 380
카페스물하나,"카페,디저트",4.31/5,방문자 리뷰_ 640,블로그 리뷰_ 452
향나무집,"사철,영양탕",4.34/5,방문자 리뷰_ 122,블로그 리뷰_ 47
고깃느루 부평본점,"육류,고기요리",4.59/5,방문자 리뷰_ 235,블로그 리뷰_ 151
누룩골 삼산점,"백숙,삼계탕",4.51/5,"방문자 리뷰_ 2,264",블로그 리뷰_ 223
브로이인탭하우스,"맥주,호프",4.74/5,방문자 리뷰_ 44,블로그 리뷰_ 223
본전집,한식,4.34/5,방문자 리뷰_ 94,블로그 리뷰_ 24
추동 의정부 부대찌개,"찌개,전골",4.34/5,방문자 리뷰_ 412,블로그 리뷰_ 112
이차돌 부평역점,소고기구이,4.38/5,방문자 리뷰_ 967,블로그 리뷰_ 795
잔잔 부평점,잔잔,4.26/5,방문자 리뷰_ 262,블로그 리뷰_ 66
넙딱집 부평점,돼지고기구이,4.42/5,방문자 리뷰_ 288,블로그 리뷰_ 92
미스터카츠 부평역점,돈가스,4.65/5,"방문자 리뷰_ 2,118",블로그 리뷰_ 222
당신과 나의 식탁,이탈리아음식,4.65/5,방문자 리뷰_ 408,블로그 리뷰_ 458
위청칡냉면 본점,냉면,4.44/5,방문자 리뷰_ 250,블로그 리뷰_ 18
남해해물탕,"매운탕,해물탕",4.22/5,방문자 리뷰_ 273,블로그 리뷰_ 355
샤브모아 월남쌈,샤브샤브,4.4/5,"방문자 리뷰_ 1,634",블로그 리뷰_ 251
뮤게트,"카페,디저트",4.4/5,방문자 리뷰_ 67,블로그 리뷰_ 25
명동칼국수,"칼국수,만두",4.28/5,"방문자 리뷰_ 1,221",블로그 리뷰_ 184
벤스버거,햄버거,4.75/5,방문자 리뷰_ 151,블로그 리뷰_ 115
534라비아,양식,4.5/5,방문자 리뷰_ 215,블로그 리뷰_ 173
노코,일본식라면,4.5/5,방문자 리뷰_ 10,블로그 리뷰_ 3
포사이공,베트남음식,4.55/5,방문자 리뷰_ 458,블로그 리뷰_ 64
온누리쭈꾸미부평본점,주꾸미요리,4.33/5,"방문자 리뷰_ 1,455",블로그 리뷰_ 337
열불날개 부평점,닭발,4.57/5,방문자 리뷰_ 276,블로그 리뷰_ 306
아웃백스테이크하우스 부평점,패밀리레스토랑,4.51/5,"방문자 리뷰_ 3,162",블로그 리뷰_ 461
조용한분위기,"맥주,호프",4.51/5,방문자 리뷰_ 103,블로그 리뷰_ 39
드렁킨타이 삼산점,태국음식,4.54/5,방문자 리뷰_ 545,블로그 리뷰_ 134
장씨아궁이,"족발,보쌈",4.45/5,"방문자 리뷰_ 1,642",블로그 리뷰_ 82
아웃닭 부평점,"치킨,닭강정",4.5/5,방문자 리뷰_ 693,블로그 리뷰_ 288
오늘와인한잔 부평점,와인,4.5/5,방문자 리뷰_ 559,블로그 리뷰_ 180
오늘여기우리,양식,4.6/5,방문자 리뷰_ 157,블로그 리뷰_ 305
신매운양푼갈비찜 부평본점,"육류,고기요리",4.47/5,방문자 리뷰_ 682,블로그 리뷰_ 272
에머이 인천부평점,베트남음식,4.36/5,방문자 리뷰_ 902,블로그 리뷰_ 426
더즌매터,베이커리,4.36/5,방문자 리뷰_ 416,블로그 리뷰_ 213
헤이븐케이크,케이크전문,4.36/5,방문자 리뷰_ 33,블로그 리뷰_ 35
15평,와인,4.36/5,방문자 리뷰_ 168,블로그 리뷰_ 169
장수곰탕,국밥,4.36/5,방문자 리뷰_ 223,블로그 리뷰_ 94
웨스턴스테이크,"스테이크,립",4.53/5,방문자 리뷰_ 254,블로그 리뷰_ 266
경복궁삼계탕 부평점,"백숙,삼계탕",4.44/5,"방문자 리뷰_ 1,267",블로그 리뷰_ 250
노드로드,"카페,디저트",4.44/5,방문자 리뷰_ 279,블로그 리뷰_ 154
