STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_1_FLPOP_CO,TMZON_2_FLPOP_CO,TMZON_3_FLPOP_CO,TMZON_4_FLPOP_CO,TMZON_5_FLPOP_CO,TMZON_6_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
2021,4,A,골목상권,2110951,신사은행나무공원,517661,250378,267283,42921,112402,141162,102061,51668,67449,121288,101825,71163,74352,89503,59531,74539,78532,78532,78471,77739,67489,62111
2021,4,A,골목상권,2110950,논현역 7번,155091,74939,80152,10553,26588,37047,31792,21752,27359,29413,32527,25886,26588,25955,14723,23610,24977,24977,24615,24074,17397,15625
2021,4,A,골목상권,2110949,한남IC,353470,173491,179979,36248,75314,81524,68127,47192,45064,65522,66291,57140,59838,69269,35408,50066,52565,52565,53414,53798,48440,42143
2021,4,A,골목상권,2110947,청계산입구역 2번(내곡동주민센터),8225,4115,4111,1361,729,1334,1576,1111,2114,653,1772,1805,1743,1624,628,1195,1241,1241,1258,1237,1062,998
2021,4,A,골목상권,2110946,청계산원터골,5,3,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2
2021,4,A,골목상권,2110945,본마을노인복지센터(서초구립내곡도서관),17215,8836,8379,2431,1285,3188,3327,2806,4179,2428,3665,2741,2806,3692,1882,2396,2377,2377,2438,2525,2566,2491
2021,4,A,골목상권,2110944,서울나래학교(염곡어린이공원),23659,10008,13651,4951,45,2721,3201,3639,9103,8422,6852,2619,2048,1584,2133,3250,3291,3291,3307,3391,3545,3552
2021,4,A,골목상권,2110943,법제교육센터(버들어린이공원),519001,268173,250828,62560,73519,117293,99168,75729,90731,117685,106503,68841,67036,90527,68409,76075,78244,78244,77097,76328,67476,66320
2021,4,A,골목상권,2110942,염곡동 구룡사(포이동성당),1977060,988066,988995,237221,280438,447883,386352,283632,341534,567639,440161,230605,220757,276152,241745,288203,291959,291959,289840,286718,263522,264468
2021,4,A,골목상권,2110941,언남고등학교,186366,95210,91156,31922,27865,44180,34525,24653,23220,44791,40603,26697,25125,27760,21390,28090,29220,29220,29294,27943,21547,21046
2021,4,A,골목상권,2110940,양재근린공원(양재2동주민센터),406624,204639,201984,57890,58581,88090,76222,58689,67150,78369,87111,61760,60278,73409,45698,59317,62231,62231,62993,61566,50904,47195
2021,4,A,골목상권,2110939,양재역 8번(양재동우체국),1997368,963043,1034325,224563,298784,440859,357916,263557,411687,444477,417313,287140,284781,342585,221074,290590,304404,304404,304511,298173,252033,243071
2021,4,A,골목상권,2110938,바우뫼공원,250563,127977,122586,25849,36653,53910,49672,36128,48354,36957,53951,44089,47108,45361,23097,37250,39331,39331,39234,36546,28866,29715
2021,4,A,골목상권,2110937,방아다리근린공원(횃불트리니티신학대학원대학교),70930,35970,34960,9640,9340,14310,11700,11590,14350,10570,15490,11510,11910,14000,7450,9990,11030,11030,11070,10800,8420,8510
