,name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
24,선데이 버거 클럽,5.095714285714267,31.146285714285682,23.73685714285712,18.40342857142855,11.475142857142844,8.391428571428543,50,50
25,신사전,17.208333333333343,82.14499999999998,58.47666666666665,46.754333333333335,36.17866666666665,28.399333333333328,55,45
26,아베크 청담,61.060999999999986,89.8653333333333,65.70866666666666,45.044999999999995,36.11366666666667,31.17999999999998,54,46
27,아우어베이커리 가로수길점,64.38499999999998,94.3723333333333,64.10266666666666,54.211,45.99233333333333,30.559666666666647,65,35
28,안동국시,12.756470588235297,35.52235294117648,45.01929411764704,47.27623529411764,43.927058823529414,42.526588235294106,43,57
29,압구정하루,18.214999999999986,75.07049999999995,64.14399999999999,52.86849999999994,45.47099999999994,36.55499999999996,53,47
30,오스테리아 꼬또 압구정점,21.538588235294124,49.59317647058824,49.24305882352941,38.27811764705882,33.34399999999999,30.568470588235297,62,38
31,온기정,22.58066666666666,46.70444444444441,24.72622222222221,23.639111111111095,26.072444444444432,14.849777777777753,55,45
32,올리버,19.983999999999998,49.32847058823529,41.88658823529411,26.276470588235284,23.133411764705876,19.12988235294117,52,48
33,우와,50.40700000000001,85.65066666666664,56.994666666666674,35.71833333333333,29.306333333333317,23.099000000000014,59,41
34,지아니스나폴리 가로수길점,16.439142857142844,39.3445714285714,26.295142857142835,20.090285714285695,15.42171428571426,10.712285714285683,54,46
35,쮸즈,39.21566666666662,83.32199999999999,67.46366666666664,52.476999999999975,45.29966666666664,35.94633333333331,58,42
36,카멜커피,31.60899999999999,83.42566666666664,79.83533333333332,67.87533333333332,45.878,31.214,64,36
37,카이센동 우니도,43.60199999999996,84.34166666666667,63.193,49.298666666666655,42.25233333333331,35.35833333333331,52,48
38,카츠바이콘반,39.883999999999986,77.667,62.60566666666666,40.30533333333334,32.40366666666667,29.653000000000002,45,55
39,카페 노티드 청담,22.58066666666666,46.70444444444441,24.72622222222221,23.639111111111095,26.072444444444432,14.849777777777753,55,45
40,카페무니 압구정본점,35.50933333333332,48.63266666666665,32.55799999999999,27.771555555555526,20.81799999999998,5.484888888888861,75,25
41,콴안다오,23.34847058823528,50.11764705882351,43.44517647058822,37.66917647058822,27.54705882352942,24.243058823529417,57,43
42,클랩피자 청담점,49.628,76.51199999999999,63.47799999999999,49.67533333333332,35.59133333333334,28.150666666666652,54,46
43,텍사스데브라질 압구정점,4.555999999999973,37.666571428571395,29.166285714285685,23.882857142857127,17.23885714285713,9.281428571428537,39,61
44,파넬,26.355058823529415,52.144941176470596,46.20705882352941,37.86917647058823,30.98211764705881,22.172705882352947,62,38
45,포스터리 베이커,33.96633333333332,83.62899999999998,69.23199999999999,50.60566666666665,31.659999999999975,26.449333333333318,74,26
46,플레이버스 바이 바프,25.00000000000001,88.18549999999999,89.98899999999995,82.633,57.490499999999976,38.76099999999998,62,38
47,한올,25.55623529411764,49.73576470588236,43.25623529411764,24.915294117647065,19.152,26.761647058823524,57,43
48,핫쵸,48.29799999999998,91.55766666666663,63.57666666666664,42.815000000000005,33.95999999999999,32.685999999999986,57,43
49,호족반,10.51099999999994,87.55749999999998,57.30249999999999,30.147999999999957,21.291499999999967,12.473999999999933,57,43
